id,customer_id,account_id,transaction_type,amount,merchant,category,location,device_id,beneficiary,description,timestamp
1,1,1,CREDIT,139940.33,Employer,Salary,Gandhinagar,DEVICE_0001,,Monthly salary credit,2026-08-26T04:45:01.430392
2,1,1,DEBIT,3994.72,Reliance Fresh,Groceries,Gandhinagar,DEVICE_0001,,Groceries transaction,2026-04-24T04:45:01.430392
3,1,1,DEBIT,6175.14,Airtel,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-05-19T04:45:01.430392
4,1,1,DEBIT,9761.47,Ola,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-03-18T04:45:01.430392
5,1,1,DEBIT,6487.04,Zomato,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-07-15T04:45:01.430392
6,1,1,DEBIT,8727.29,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-09-01T04:45:01.430392
7,1,1,DEBIT,8388.2,Ola,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-03-16T04:45:01.430392
8,1,1,DEBIT,4391.72,Airtel,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-03-27T04:45:01.430392
9,1,1,DEBIT,9224.31,Airtel,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-08-05T04:45:01.430392
10,1,1,DEBIT,10808.46,Reliance Fresh,Groceries,Gandhinagar,DEVICE_0001,,Groceries transaction,2026-08-11T04:45:01.430392
11,1,1,DEBIT,10814.28,Netflix,Entertainment,Gandhinagar,DEVICE_0001,,Entertainment transaction,2026-06-20T04:45:01.430392
12,1,1,DEBIT,1303.53,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-05-23T04:45:01.430392
13,1,1,DEBIT,5982.95,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-05-19T04:45:01.430392
14,1,1,DEBIT,8143.43,Amazon,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-05-31T04:45:01.430392
15,1,1,DEBIT,7399.47,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-08-04T04:45:01.430392
16,1,1,DEBIT,5362.16,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-07-07T04:45:01.430392
17,1,1,DEBIT,7052.88,Ola,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-06-03T04:45:01.430392
18,1,1,DEBIT,1083.09,Apollo Pharmacy,Healthcare,Gandhinagar,DEVICE_0001,,Healthcare transaction,2026-06-20T04:45:01.430392
19,1,1,DEBIT,7614.71,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-04-29T04:45:01.430392
20,1,1,DEBIT,10690.98,BigBasket,Groceries,Gandhinagar,DEVICE_0001,,Groceries transaction,2026-04-05T04:45:01.430392
21,1,1,DEBIT,9957.59,Electricity Board,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-05-11T04:45:01.430392
22,1,1,DEBIT,6148.59,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-04-07T04:45:01.430392
23,1,1,DEBIT,2781.35,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-03-21T04:45:01.430392
24,1,1,DEBIT,11166.92,Uber,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-08-20T04:45:01.430392
25,1,1,DEBIT,10957.04,BigBasket,Groceries,Gandhinagar,DEVICE_0001,,Groceries transaction,2026-04-03T04:45:01.430392
26,1,1,DEBIT,9794.21,Electricity Board,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-05-22T04:45:01.430392
27,1,1,DEBIT,7830.7,Swiggy,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-09-05T04:45:01.430392
28,1,1,DEBIT,3766.57,Amazon,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-08-29T04:45:01.430392
29,1,1,DEBIT,4141.39,Uber,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-05-25T04:45:01.430392
30,1,1,DEBIT,2885.01,Swiggy,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-05-30T04:45:01.430392
31,1,1,DEBIT,7696.55,BookMyShow,Entertainment,Gandhinagar,DEVICE_0001,,Entertainment transaction,2026-07-28T04:45:01.430392
32,1,1,DEBIT,2124.93,Swiggy,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-04-09T04:45:01.430392
33,1,1,DEBIT,4406.16,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-03-22T04:45:01.430392
34,1,1,DEBIT,5671.96,Zomato,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-04-16T04:45:01.430392
35,1,1,DEBIT,2752.96,Swiggy,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-04-02T04:45:01.430392
36,1,1,DEBIT,5253.08,Uber,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-03-26T04:45:01.430392
37,1,1,DEBIT,10083.7,Amazon,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-05-16T04:45:01.430392
38,1,1,DEBIT,7650.49,Uber,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-08-03T04:45:01.430392
39,1,1,DEBIT,5056.92,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-06-16T04:45:01.430392
40,1,1,DEBIT,3489.27,BookMyShow,Entertainment,Gandhinagar,DEVICE_0001,,Entertainment transaction,2026-05-27T04:45:01.430392
41,1,1,DEBIT,2949.89,Electricity Board,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-06-27T04:45:01.430392
42,1,1,DEBIT,11188.34,Zomato,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-05-12T04:45:01.430392
43,1,1,DEBIT,2808.13,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-04-19T04:45:01.430392
44,1,1,DEBIT,6520.19,Ola,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-03-17T04:45:01.430392
45,1,1,DEBIT,441.23,Uber,Transport,Gandhinagar,DEVICE_0001,,Transport transaction,2026-03-28T04:45:01.430392
46,1,1,DEBIT,3217.97,BigBasket,Groceries,Gandhinagar,DEVICE_0001,,Groceries transaction,2026-04-21T04:45:01.430392
47,1,1,DEBIT,7740.52,Jio,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-08-31T04:45:01.430392
48,1,1,DEBIT,8393.34,BookMyShow,Entertainment,Gandhinagar,DEVICE_0001,,Entertainment transaction,2026-07-01T04:45:01.430392
49,1,1,DEBIT,8983.65,Airtel,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-04-10T04:45:01.430392
50,1,1,DEBIT,4073.85,Airtel,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-04-03T04:45:01.430392
51,1,1,DEBIT,7026.84,Zomato,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-03-23T04:45:01.430392
52,1,1,DEBIT,8126.77,Airtel,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-03-28T04:45:01.430392
53,1,1,DEBIT,9417.71,Apollo Pharmacy,Healthcare,Gandhinagar,DEVICE_0001,,Healthcare transaction,2026-04-05T04:45:01.430392
54,1,1,DEBIT,10133.13,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-03-31T04:45:01.430392
55,1,1,DEBIT,3596.79,Amazon,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-05-23T04:45:01.430392
56,1,1,DEBIT,6572.55,Amazon,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-08-10T04:45:01.430392
57,1,1,DEBIT,10201.56,Flipkart,Shopping,Gandhinagar,DEVICE_0001,,Shopping transaction,2026-06-21T04:45:01.430392
58,1,1,DEBIT,4768.55,Electricity Board,Utilities,Gandhinagar,DEVICE_0001,,Utilities transaction,2026-07-23T04:45:01.430392
59,1,1,DEBIT,8847.89,Swiggy,Food,Gandhinagar,DEVICE_0001,,Food transaction,2026-06-11T04:45:01.430392
